year,month,province,occupancy_rate,checkin_count,visitors_total,visitors_thai,visitors_foreign,revenue_total_mb,revenue_thai_mb,revenue_foreign_mb,date,region,month_sin,month_cos,is_high_season,foreign_ratio,revenue_per_visitor
2024,1,กระบี่,65.03,272251,502358,243105,259253,7491.73,2366.94,5124.79,2024-01-01,ภาคใต้,0.4999999999999999,0.8660254037844387,1,0.5160722034883489,14913.129680427106
2024,2,กระบี่,70.75,313428,580915,290772,290143,8566.439999999999,2831.04,5735.4,2024-02-01,ภาคใต้,0.8660254037844386,0.5000000000000001,1,0.4994586127058175,14746.460325520944
2024,3,กระบี่,72.56,360641,676676,369504,307172,9669.65,3597.600000000002,6072.049999999999,2024-03-01,ภาคใต้,1.0,6.123233995736766e-17,1,0.453942507196945,14289.926050281085
2024,4,กระบี่,77.46,382672,609586,251871,357715,10180.48,3232.73,6947.75,2024-04-01,ภาคใต้,0.8660254037844387,-0.4999999999999998,0,0.5868162982745667,16700.646012211568
2024,5,กระบี่,71.12,352138,561774,227955,333819,9409.4,2925.77,6483.63,2024-05-01,ภาคใต้,0.4999999999999999,-0.8660254037844387,0,0.5942229437460615,16749.440166330234
2024,6,กระบี่,68.69,340776,540676,234307,306369,8957.780000000006,3007.300000000001,5950.480000000003,2024-06-01,ภาคใต้,1.2246467991473532e-16,-1.0,0,0.5666406498531468,16567.741124074317
2024,7,กระบี่,65.23,329441,464615,211365,253250,8275.86,2622.08,5653.78,2024-07-01,ภาคใต้,-0.4999999999999997,-0.8660254037844388,0,0.5450749545322471,17812.29620223196
2024,8,กระบี่,64.07,325051,461698,193481,268217,8388.13,2400.22,5987.91,2024-08-01,ภาคใต้,-0.8660254037844384,-0.5000000000000004,0,0.5809360231146767,18168.00159411563
2024,9,กระบี่,64.21,315453,447882,188610,259272,8128.010000000002,2339.8100000000004,5788.200000000001,2024-09-01,ภาคใต้,-1.0,-1.8369701987210292e-16,0,0.5788846169303522,18147.659428152954
2024,10,กระบี่,66.05,345472,491874,198469,293405,8023.549999999999,2511.77,5511.78,2024-10-01,ภาคใต้,-0.8660254037844386,0.5000000000000001,0,0.5965043893354802,16312.205971447973
